DATE,SPASTT01INM661N
1994-04-01,13.9809088324257
1994-05-01,13.7299670999344
1994-06-01,15.1174391086994
1994-07-01,15.012456638821
1994-08-01,16.1107151024336
1994-09-01,16.4902896035537
1994-10-01,15.9051366168501
1994-11-01,15.1298308417386
1994-12-01,14.4379408034874
1995-01-01,13.3483090330821
1995-02-01,12.7021477795863
1995-03-01,12.4585899116198
1995-04-01,12.279403258645
1995-05-01,11.7194723834372
1995-06-01,12.1960240755696
1995-07-01,12.1901754700054
1995-08-01,12.4385584375623
1995-09-01,12.4150178001661
1995-10-01,12.8965408070282
1995-11-01,11.5949336387034
1995-12-01,11.1856409105599
1996-01-01,10.8905056522738
1996-02-01,12.4486107283758
1996-03-01,12.1626504700686
1996-04-01,13.1581196908895
1996-05-01,13.6426035543183
1996-06-01,14.2805402062393
1996-07-01,13.408695885533
1996-08-01,12.6080217837865
1996-09-01,12.392135130896
1996-10-01,11.5502283599217
1996-11-01,11.1279955919672
1996-12-01,10.6688800551733
1997-01-01,12.46593722236
1997-02-01,12.6228991741906
1997-03-01,13.7534711835457
1997-04-01,13.4572758655011
1997-05-01,13.6745881159978
1997-06-01,14.6269604245671
1997-07-01,15.5576928925486
1997-08-01,15.6315599858671
1997-09-01,14.4196845336847
1997-10-01,14.5913759824447
1997-11-01,13.2026190458711
1997-12-01,12.8505329858212
1998-01-01,12.6946724092339
1998-02-01,12.438177982393
1998-03-01,13.9834163161281
1998-04-01,15.0212644972979
1998-05-01,14.2996823481714
1998-06-01,12.1267138429195
1998-07-01,11.9594158163365
1998-08-01,10.9237578039015
1998-09-01,11.2947036500261
1998-10-01,10.4780132071653
1998-11-01,10.6458938115298
1998-12-01,10.7687138732648
1999-01-01,12.0155833475056
1999-02-01,12.0032620644188
1999-03-01,13.486239978996
1999-04-01,12.5945014285007
1999-05-01,14.1846799152597
1999-06-01,14.8658457149326
1999-07-01,16.5451937892118
1999-08-01,17.0444660341622
1999-09-01,17.2715522369758
1999-10-01,17.6755146955411
1999-11-01,16.7609039282291
1999-12-01,17.5532455998229
2000-01-01,19.7583358816942
2000-02-01,20.6553304891808
2000-03-01,19.1831247018006
2000-04-01,17.9341897511509
2000-05-01,15.6110106371361
2000-06-01,17.090380976579
2000-07-01,16.9876646944552
2000-08-01,15.8134092329083
2000-09-01,16.1549682863479
2000-10-01,14.0074303593812
2000-11-01,14.3587127334774
2000-12-01,14.888597155423
2001-01-01,15.2068348608217
2001-02-01,15.7551789704801
2001-03-01,13.9500408352052
2001-04-01,12.7086725288258
2001-05-01,13.1949116693281
2001-06-01,12.5709011169665
2001-07-01,12.234094062344
2001-08-01,12.0840771150713
2001-09-01,10.6674331600143
2001-10-01,10.7153552403931
2001-11-01,11.5896864689057
2001-12-01,12.1096282471725
2002-01-01,12.2576347334072
2002-02-01,12.8982772816288
2002-03-01,13.0583099802545
2002-04-01,12.5567182281892
2002-05-01,12.0789961317207
2002-06-01,11.9056943902441
2002-07-01,11.7515834132212
2002-08-01,11.1550613463247
2002-09-01,11.2794906076591
2002-10-01,10.7925934980898
2002-11-01,11.1654791898853
2002-12-01,12.1268085505883
2003-01-01,12.1638741413618
2003-02-01,11.9797159102799
2003-03-01,11.503711844153
2003-04-01,11.0850607483649
2003-05-01,11.0762512736347
2003-06-01,12.3803825182371
2003-07-01,13.3986627570713
2003-08-01,14.530735090657
2003-09-01,15.7720302893623
2003-10-01,17.2798029601967
2003-11-01,18.0950266341918
2003-12-01,19.8637571477601
2004-01-01,21.7418567417963
2004-02-01,21.27502768877
2004-03-01,20.5507865152042
2004-04-01,21.2655236911358
2004-05-01,19.0249562488647
2004-06-01,17.6330592414939
2004-07-01,18.1777479674467
2004-08-01,18.8038786423576
2004-09-01,19.8241327883928
2004-10-01,20.8168984489628
2004-11-01,21.8016953730549
2004-12-01,23.3719019975789
2005-01-01,23.0078623343506
2005-02-01,24.1074383067946
2005-03-01,24.3773883934439
2005-04-01,23.3341784377384
2005-05-01,23.6966097321362
2005-06-01,25.3454071063279
2005-07-01,26.8651694357163
2005-08-01,28.2481838606828
2005-09-01,30.184404055636
2005-10-01,30.1046070293455
2005-11-01,31.036291228197
2005-12-01,33.4908448325866
2006-01-01,34.879744425319
2006-02-01,36.8748528517674
2006-03-01,39.6778010771258
2006-04-01,42.7598378483973
2006-05-01,42.4395531281235
2006-06-01,36.2358552262133
2006-07-01,38.5904340862581
2006-08-01,41.3255018362058
2006-09-01,43.9950651101515
2006-10-01,46.1424202679329
2006-11-01,49.0398601620779
2006-12-01,49.7893965908856
2007-01-01,51.1692673858654
2007-02-01,51.7358884140512
2007-03-01,47.0442765357478
2007-04-01,49.1582580402982
2007-05-01,51.657005233687
2007-06-01,52.397366649394
2007-07-01,55.7570663669333
2007-08-01,54.0583364513249
2007-09-01,58.6543600457301
2007-10-01,67.439526474284
2007-11-01,70.4010086909489
2007-12-01,72.3652656789231
2008-01-01,70.6426661077179
2008-02-01,64.8009608541608
2008-03-01,57.7241745541978
2008-04-01,59.5010931272664
2008-05-01,62.0809167312426
2008-06-01,54.82081293845
2008-07-01,50.1379008733656
2008-08-01,53.815399650259
2008-09-01,51.150259390597
2008-10-01,38.8458357457596
2008-11-01,34.4947959672954
2008-12-01,34.7287770782829
2009-01-01,34.1063017870775
2009-02-01,33.5227563323354
2009-03-01,32.6043411763348
2009-04-01,39.8018648000896
2009-05-01,47.4026869080696
2009-06-01,54.0355999646768
2009-07-01,53.4972350525344
2009-08-01,56.3465335432783
2009-09-01,59.8491587637017
2009-10-01,61.5884268846039
2009-11-01,60.8502952529573
2009-12-01,62.5575422125995
2010-01-01,63.0454628296063
2010-02-01,59.2013151095803
2010-03-01,63.1328630540042
2010-04-01,64.6483485844572
2010-05-01,61.5732204883891
2010-06-01,63.2372242587956
2010-07-01,65.2406669600924
2010-08-01,66.443397860705
2010-09-01,70.6501961981512
2010-10-01,74.0206061899476
2010-11-01,73.5261424361079
2010-12-01,72.8330085778757
2011-01-01,70.4514529860845
2011-02-01,65.9307668498491
2011-03-01,67.4652238217335
2011-04-01,71.1344979852896
2011-05-01,66.9865513255015
2011-06-01,66.633733690249
2011-07-01,68.0501217684466
2011-08-01,61.689278921038
2011-09-01,61.0227928100187
2011-10-01,61.3956785018142
2011-11-01,61.1801936323764
2011-12-01,58.4802541198383
2012-01-01,59.9972749114476
2012-02-01,65.2774766740066
2012-03-01,63.5800626965321
2012-04-01,63.2631774831044
2012-05-01,60.0811294136512
2012-06-01,61.1806688322581
2012-07-01,62.9098480941332
2012-08-01,64.3158183287701
2012-09-01,66.391345196739
2012-10-01,68.4467674543277
2012-11-01,68.2731001744806
2012-12-01,70.7680092149786
2013-01-01,72.6494717620238
2013-02-01,71.1474014897699
2013-03-01,69.8590249489381
2013-04-01,68.8726196560156
2013-05-01,72.8918237016968
2013-06-01,69.9248949633108
2013-07-01,72.0465527736427
2013-08-01,68.2867713095391
2013-09-01,71.682878648785
2013-10-01,74.7631608358778
2013-11-01,75.3911923103155
2013-12-01,76.6763886673236
2014-01-01,76.5562362049246
2014-02-01,75.098469183181
2014-03-01,79.7542948550078
2014-04-01,82.5333734247695
2014-05-01,86.5797004175454
2014-06-01,92.2136702151202
2014-07-01,94.0716651987763
2014-08-01,95.3606997086751
2014-09-01,98.368276313866
2014-10-01,97.3213744206179
2014-11-01,102.777509800921
2014-12-01,101.022560083923
2015-01-01,103.333786093221
2015-02-01,105.792579942709
2015-03-01,104.481028269184
2015-04-01,102.966566246169
2015-05-01,100.182187370034
2015-06-01,99.1993643531428
2015-07-01,102.407767739113
2015-08-01,100.109481788132
2015-09-01,94.0322236085942
2015-10-01,98.6529210430114
2015-11-01,95.0229057004521
2015-12-01,93.8191878462391
2016-01-01,90.5279900193403
2016-02-01,86.5898258304095
2016-03-01,90.8379665575646
2016-04-01,93.1280644490449
2016-05-01,93.9202957595325
2016-06-01,97.6635548892874
2016-07-01,101.207997699301
2016-08-01,102.399067925894
2016-09-01,104.167908100973
2016-10-01,102.386968605828
2016-11-01,97.6815759309554
2016-12-01,96.4031785876395
2017-01-01,99.3903215979169
2017-02-01,104.102330517297
2017-03-01,106.939822118672
2017-04-01,108.545997718858
2017-05-01,111.117267724963
2017-06-01,113.844659169129
2017-07-01,116.532206930906
2017-08-01,116.060333448366
2017-09-01,116.559658862534
2017-10-01,118.239453890548
2017-11-01,122.072050598065
2017-12-01,122.268783349094
2018-01-01,128.068342028527
2018-02-01,125.334736432061
2018-03-01,121.811896939746
2018-04-01,124.815562284372
2018-05-01,128.242082416048
2018-06-01,129.41937184607
2018-07-01,133.07928822734
2018-08-01,139.131799459192
2018-09-01,136.710253969663
2018-10-01,126.540062655104
2018-11-01,128.968187835303
2018-12-01,131.04448233385
