DATE,SPASTT01USM661N
1994-04-01,24.5566746291051
1994-05-01,24.7143990638008
1994-06-01,24.8775419058247
1994-07-01,24.6876877537822
1994-08-01,25.3602363256711
1994-09-01,25.510848053542
1994-10-01,25.2744568223081
1994-11-01,25.0032919445754
1994-12-01,24.6242917371243
1995-01-01,25.1106233039233
1995-02-01,25.9325656456295
1995-03-01,26.4223639685068
1995-04-01,27.1715492944555
1995-05-01,27.9074178051112
1995-06-01,28.6715343280059
1995-07-01,29.5286083496492
1995-08-01,29.713814192184
1995-09-01,30.7398090232331
1995-10-01,30.8753734002734
1995-11-01,31.4498633211001
1995-12-01,32.4717494215486
1996-01-01,32.6031477496707
1996-02-01,34.3099113392397
1996-03-01,34.337284713289
1996-04-01,34.4135262800271
1996-05-01,35.14031770457
1996-06-01,35.4843561734029
1996-07-01,34.2169410656243
1996-08-01,35.1151962379703
1996-09-01,35.7465031845851
1996-10-01,36.9917460779801
1996-11-01,38.4985691493521
1996-12-01,38.7816307435975
1997-01-01,39.967295694617
1997-02-01,41.450957904285
1997-03-01,41.2677650492193
1997-04-01,39.7115855023993
1997-05-01,42.9164168277964
1997-06-01,45.2638231411468
1997-07-01,47.6273711637351
1997-08-01,47.6865879726127
1997-09-01,48.4996187769938
1997-10-01,49.4408603460734
1997-11-01,48.7314489686683
1997-12-01,49.9765281864231
1998-01-01,49.924498101799
1998-02-01,52.6996432215704
1998-03-01,55.5261963349057
1998-04-01,57.2448812541473
1998-05-01,56.8894276269608
1998-06-01,56.4233872222298
1998-07-01,58.0705779081905
1998-08-01,53.3936228220561
1998-09-01,50.1651235364278
1998-10-01,50.6531261382298
1998-11-01,55.8790096481152
1998-12-01,57.0383845600187
1999-01-01,58.9662191873068
1999-02-01,58.2997286090052
1999-03-01,59.7840802400251
1999-04-01,62.1668620890372
1999-05-01,62.9455527494763
1999-06-01,62.3427125425497
1999-07-01,64.2542978108055
1999-08-01,61.5005964476692
1999-09-01,60.1979430965846
1999-10-01,59.3237406289936
1999-11-01,62.8075053373
1999-12-01,63.1987537761486
2000-01-01,62.8660189009962
2000-02-01,59.923865914473
2000-03-01,61.6246839648728
2000-04-01,64.0181920098078
2000-05-01,63.338333076556
2000-06-01,64.3315696087416
2000-07-01,64.6789448372071
2000-08-01,65.9681386953433
2000-09-01,66.1083437956433
2000-10-01,64.0261528872464
2000-11-01,63.9463567980976
2000-12-01,63.8902560265013
2001-01-01,64.4254143051348
2001-02-01,64.1760046978542
2001-03-01,59.7594035523308
2001-04-01,60.092917488315
2001-05-01,63.8312518760744
2001-06-01,62.4747183605462
2001-07-01,60.7987195162783
2001-08-01,59.8657046804808
2001-09-01,54.5954165014004
2001-10-01,55.0646399833664
2001-11-01,56.9918279251659
2001-12-01,57.7323768417139
2002-01-01,57.6208309001926
2002-02-01,56.4110585016786
2002-03-01,59.4904195522896
2002-04-01,58.1882073181068
2002-05-01,57.0232031480119
2002-06-01,53.9080649776182
2002-07-01,48.2562166257774
2002-08-01,48.7076452052338
2002-09-01,46.7630369904512
2002-10-01,45.5427749651946
2002-11-01,47.8747501103986
2002-12-01,47.5248461326291
2003-01-01,47.3498941437444
2003-02-01,44.3759913048487
2003-03-01,44.2455265722382
2003-04-01,46.6297625363917
2003-05-01,49.3649327095127
2003-06-01,52.2927561166465
2003-07-01,52.1439345372365
2003-08-01,52.2689671417125
2003-09-01,53.8006399608887
2003-10-01,55.2053133705746
2003-11-01,56.1324277913295
2003-12-01,58.5198481064585
2004-01-01,61.4746448395017
2004-02-01,62.4027894914544
2004-03-01,61.5773869871497
2004-04-01,61.8444978395583
2004-05-01,59.7237200899298
2004-06-01,61.3312553882262
2004-07-01,60.389811388082
2004-08-01,59.4989423740179
2004-09-01,61.3456786249972
2004-10-01,61.8998493521016
2004-11-01,64.9732163302884
2004-12-01,66.8493609990995
2005-01-01,66.0967302803212
2005-02-01,67.8469994282217
2005-03-01,68.08076825277
2005-04-01,66.290413745532
2005-05-01,66.4794143416612
2005-06-01,67.7982039323925
2005-07-01,69.1415317571108
2005-08-01,70.0831630720183
2005-09-01,71.011588696116
2005-10-01,69.0557415955378
2005-11-01,71.1132069551844
2005-12-01,72.9563842256618
2006-01-01,74.8948110532568
2006-02-01,75.3682491173962
2006-03-01,76.5587280952945
2006-04-01,78.1582088587708
2006-05-01,78.1904269980514
2006-06-01,74.7909450170292
2006-07-01,75.9610066857322
2006-08-01,77.6876741734619
2006-09-01,78.5390197724781
2006-10-01,81.0230945054492
2006-11-01,82.9852166505966
2006-12-01,85.1180762024554
2007-01-01,85.5371929852494
2007-02-01,87.572929832358
2007-03-01,85.420870517265
2007-04-01,89.4411136237305
2007-05-01,92.0211871728723
2007-06-01,92.6925232843958
2007-07-01,93.5409655045815
2007-08-01,88.4166891834622
2007-09-01,91.4896815321224
2007-10-01,95.1495310340758
2007-11-01,91.0900454847074
2007-12-01,91.88257424806
2008-01-01,85.9213755646954
2008-02-01,84.648946377871
2008-03-01,82.1694608565998
2008-04-01,85.9222184811301
2008-05-01,88.2616862168646
2008-06-01,84.2632652803189
2008-07-01,78.9506439647417
2008-08-01,78.3181756665947
2008-09-01,74.0719372982561
2008-10-01,57.4156275770414
2008-11-01,51.779607322696
2008-12-01,51.7366185845279
2009-01-01,51.378472757175
2009-02-01,47.3830488568414
2009-03-01,44.3909764859095
2009-04-01,50.0141656789715
2009-05-01,54.5226447158739
2009-06-01,56.0599369779479
2009-07-01,56.3407218080745
2009-08-01,61.6001457308858
2009-09-01,63.9741730404417
2009-10-01,65.4323248150384
2009-11-01,66.3718020101684
2009-12-01,67.1647054030475
2010-01-01,67.9826153168218
2010-02-01,65.1309353609532
2010-03-01,68.8368642946686
2010-04-01,71.2205383145324
2010-05-01,65.5570764473694
2010-06-01,63.3849744526077
2010-07-01,63.6621066448507
2010-08-01,64.8323556283169
2010-09-01,66.9184801467424
2010-10-01,70.0758577962512
2010-11-01,71.2458258075724
2010-12-01,73.4390943705826
2011-01-01,75.8366296829276
2011-02-01,78.3819563434847
2011-03-01,77.4994228363857
2011-04-01,79.3437239954426
2011-05-01,78.7945171095646
2011-06-01,75.9440546996571
2011-07-01,77.6740938531256
2011-08-01,68.7667149158278
2011-09-01,66.5573372831773
2011-10-01,67.948898659435
2011-11-01,68.6442110606558
2011-12-01,69.3681826206553
2012-01-01,72.3130516712457
2012-02-01,75.6141934015565
2012-03-01,76.4875484852558
2012-04-01,75.3468952343846
2012-05-01,72.1718163397478
2012-06-01,70.7619917740722
2012-07-01,72.7995081114316
2012-08-01,75.0352034683201
2012-09-01,77.4222491539226
2012-10-01,77.609189287656
2012-11-01,76.134928443419
2012-12-01,78.3935698588068
2013-01-01,81.9272628677047
2013-02-01,83.3436434500944
2013-03-01,84.6809772023884
2013-04-01,85.1552581829625
2013-05-01,88.4165955260805
2013-06-01,86.20319062602
2013-07-01,88.4996696235863
2013-08-01,88.9430436682224
2013-09-01,90.1150721419396
2013-10-01,92.1681356046497
2013-11-01,94.6492133014086
2013-12-01,95.0910888279387
2014-01-01,95.9823324715293
2014-02-01,95.3644747249166
2014-03-01,97.5370450065864
2014-04-01,98.4552619760864
2014-05-01,99.7269419038579
2014-06-01,102.133842954366
2014-07-01,102.877388907126
2014-08-01,101.528347982128
2014-09-01,102.387935430728
2014-10-01,98.0721096278383
2014-11-01,102.260186762185
2014-12-01,101.376529366506
2015-01-01,100.079093658786
2015-02-01,102.775583333294
2015-03-01,102.253724402852
2015-04-01,103.848803269392
2015-05-01,104.406813949143
2015-06-01,103.163231235861
2015-07-01,101.693840575468
2015-08-01,98.640141647424
2015-09-01,93.2241225825274
2015-10-01,96.7003099591045
2015-11-01,97.660672750338
2015-12-01,95.553662635809
2016-01-01,89.2078130860903
2016-02-01,88.2409879355244
2016-03-01,94.195068657885
2016-04-01,96.8375180231924
2016-05-01,96.8365814493761
2016-06-01,97.5245885748296
2016-07-01,99.9992039122561
2016-08-01,101.047979271748
2016-09-01,100.230163015356
2016-10-01,99.0518594970692
2016-11-01,99.854222285493
2016-12-01,103.843652113402
2017-01-01,105.023547807176
2017-02-01,106.974431066528
2017-03-01,107.7979604232
2017-04-01,107.274322002507
2017-05-01,108.387908270087
2017-06-01,109.926137105978
2017-07-01,111.184705000321
2017-08-01,110.952622008642
2017-09-01,112.86192139055
2017-10-01,115.632306739164
2017-11-01,115.948587716928
2017-12-01,119.044807096232
2018-01-01,124.243166406221
2018-02-01,119.489117714685
2018-03-01,118.081728240932
2018-04-01,117.40130736339
2018-05-01,118.303508920631
2018-06-01,118.59993453349
2018-07-01,119.529577703549
2018-08-01,121.281532684319
2018-09-01,122.261188896168
2018-10-01,117.418446664228
2018-11-01,115.529377276752
2018-12-01,108.75523252084
