DATE,IIP_USA
01/01/00,91.7942
01/02/00,92.1272
01/03/00,92.4733
01/04/00,93.0619
01/05/00,93.3427
01/06/00,93.3908
01/07/00,93.204
01/08/00,92.9637
01/09/00,93.3533
01/10/00,93.0019
01/11/00,93.0137
01/12/00,92.7388
01/01/01,92.2054
01/02/01,91.5813
01/03/01,91.3567
01/04/01,91.072
01/05/01,90.5335
01/06/01,90.0322
01/07/01,89.4778
01/08/01,89.3838
01/09/01,88.9262
01/10/01,88.6365
01/11/01,88.1058
01/12/01,88.0897
01/01/02,88.6706
01/02/02,88.6723
01/03/02,89.3624
01/04/02,89.7933
01/05/02,90.1629
01/06/02,90.9078
01/07/02,90.8761
01/08/02,90.785
01/09/02,90.8931
01/10/02,90.6289
01/11/02,91.1366
01/12/02,90.6374
01/01/03,91.3852
01/02/03,91.494
01/03/03,91.221
01/04/03,90.6448
01/05/03,90.6163
01/06/03,90.7372
01/07/03,91.2028
01/08/03,91.0119
01/09/03,91.6355
01/10/03,91.7372
01/11/03,92.3505
01/12/03,92.4019
01/01/04,92.5643
01/02/04,93.1092
01/03/04,92.7403
01/04/04,93.1255
01/05/04,93.797
01/06/04,93.0677
01/07/04,93.7646
01/08/04,93.8516
01/09/04,93.9393
01/10/04,94.8012
01/11/04,95.0379
01/12/04,95.7433
01/01/05,96.1164
01/02/05,96.82
01/03/05,96.6725
01/04/05,96.8638
01/05/05,96.9622
01/06/05,97.353
01/07/05,97.0425
01/08/05,97.3856
01/09/05,95.509
01/10/05,96.6445
01/11/05,97.6736
01/12/05,98.2108
01/01/06,98.3353
01/02/06,98.3412
01/03/06,98.5915
01/04/06,98.9042
01/05/06,98.8999
01/06/06,99.209
01/07/06,99.1473
01/08/06,99.5815
01/09/06,99.4133
01/10/06,99.2931
01/11/06,99.2376
01/12/06,100.2526
01/01/07,99.86
01/02/07,100.8096
01/03/07,101.0257
01/04/07,101.7497
01/05/07,101.8148
01/06/07,101.8424
01/07/07,101.7209
01/08/07,101.9639
01/09/07,102.2023
01/10/07,101.8873
01/11/07,102.4717
01/12/07,102.4621
01/01/08,102.3148
01/02/08,101.9384
01/03/08,101.5904
01/04/08,100.9098
01/05/08,100.3073
01/06/08,100.0853
01/07/08,99.6124
01/08/08,98.0601
01/09/08,93.8451
01/10/08,94.7036
01/11/08,93.4737
01/12/08,90.825
01/01/09,88.583
01/02/09,88.0069
01/03/09,86.6045
01/04/09,85.9406
01/05/09,85.0635
01/06/09,84.7841
01/07/09,85.7471
01/08/09,86.7094
01/09/09,87.4072
01/10/09,87.6595
01/11/09,88.0061
01/12/09,88.2819
01/01/10,89.2744
01/02/10,89.5648
01/03/10,90.2296
01/04/10,90.5689
01/05/10,91.8247
01/06/10,92.007
01/07/10,92.3967
01/08/10,92.7118
01/09/10,92.9252
01/10/10,92.7115
01/11/10,92.7535
01/12/10,93.6492
01/01/11,93.4768
01/02/11,93.0617
01/03/11,94.0244
01/04/11,93.7011
01/05/11,93.849
01/06/11,94.0844
01/07/11,94.5881
01/08/11,95.1605
01/09/11,95.0855
01/10/11,95.6902
01/11/11,95.7307
01/12/11,96.2047
01/01/12,96.7772
01/02/12,97.051
01/03/12,96.5714
01/04/12,97.3139
01/05/12,97.4669
01/06/12,97.4577
01/07/12,97.6786
01/08/12,97.2842
01/09/12,97.2295
01/10/12,97.5344
01/11/12,97.9837
01/12/12,98.2122
01/01/13,98.1664
01/02/13,98.6458
01/03/13,99.0597
01/04/13,98.9927
01/05/13,99.0726
01/06/13,99.2065
01/07/13,98.9204
01/08/13,99.4996
01/09/13,100.0568
01/10/13,99.9168
01/11/13,100.1762
01/12/13,100.3658
01/01/14,100.038
01/02/14,100.7918
01/03/14,101.7782
01/04/14,101.8337
01/05/14,102.2325
01/06/14,102.5722
01/07/14,102.8479
01/08/14,102.6491
01/09/14,102.9858
01/10/14,102.9911
01/11/14,103.6669
01/12/14,103.6139
01/01/15,102.8479
01/02/15,102.2292
01/03/15,101.8945
01/04/15,101.2859
01/05/15,100.8408
01/06/15,100.5063
01/07/15,101.1831
01/08/15,100.9115
01/09/15,100.568
01/10/15,100.1588
01/11/15,99.4099
01/12/15,98.8329
01/01/16,99.4797
01/02/16,98.9583
01/03/16,98.1954
01/04/16,98.4673
01/05/16,98.2889
01/06/16,98.7201
01/07/16,98.8992
01/08/16,98.7249
01/09/16,98.606
01/10/16,98.6703
01/11/16,98.2288
01/12/16,98.8958
01/01/17,98.7446
01/02/17,98.3676
01/03/17,99.1065
01/04/17,100.0363
01/05/17,100.147
01/06/17,100.3042
01/07/17,100.2092
01/08/17,99.7055
01/09/17,99.7485
01/10/17,100.988
01/11/17,101.273
01/12/17,101.3696
01/01/18,101.3561
01/02/18,101.6495
01/03/18,102.298
01/04/18,103.4095
01/05/18,102.5408
01/06/18,103.3045
01/07/18,103.5474
01/08/18,104.1659
01/09/18,104.1315
01/10/18,103.9874
01/11/18,103.9127
01/12/18,103.867
01/01/19,103.3023
01/02/19,102.728
01/03/19,102.8635
01/04/19,102.2543
01/05/19,102.4519
01/06/19,102.384
01/07/19,102.0568
01/08/19,102.6882
01/09/19,102.3143
01/10/19,101.4645
01/11/19,101.9876
01/12/19,101.6179